date,time,temp,humid,condition
2018/1/4,7:00 PM,41,87,Mostly Cloudy / Windy
2018/1/4,7:30 PM,41,87,Mostly Cloudy / Windy
2018/1/4,8:00 PM,41,81,Partly Cloudy
2018/1/4,8:30 PM,41,81,Mostly Cloudy
2018/1/4,9:00 PM,39,87,Mostly Cloudy
2018/1/4,9:30 PM,41,81,Mostly Cloudy
2018/1/4,10:00 PM,41,81,Partly Cloudy
2018/1/4,10:30 PM,39,87,Partly Cloudy
2018/1/4,11:00 PM,41,81,Mostly Cloudy
2018/1/4,11:30 PM,41,81,Mostly Cloudy
2018/1/5,12:00 AM,32,100,Mostly Cloudy
2018/1/5,12:30 AM,32,100,Mostly Cloudy
2018/1/5,1:00 AM,39,87,Mostly Cloudy
2018/1/5,1:30 AM,39,87,Mostly Cloudy
2018/1/5,2:00 AM,39,87,Mostly Cloudy
2018/1/5,2:30 AM,39,87,Mostly Cloudy
2018/1/5,3:00 AM,39,87,Mostly Cloudy
2018/1/5,3:30 AM,39,87,Mostly Cloudy
2018/1/5,4:00 AM,39,87,Mostly Cloudy
2018/1/5,4:30 AM,37,93,Mostly Cloudy
2018/1/5,5:00 AM,37,87,Mostly Cloudy
2018/1/5,5:30 AM,36,93,Mostly Cloudy
2018/1/5,6:00 AM,36,93,Mostly Cloudy
2018/1/5,6:30 AM,36,93,Mostly Cloudy
2018/1/5,7:00 AM,36,93,Partly Cloudy
2018/1/5,7:30 AM,36,93,Fair
2018/1/5,8:00 AM,36,93,Partly Cloudy
2018/1/5,8:30 AM,36,93,Partly Cloudy
2018/1/5,9:00 AM,36,93,Mostly Cloudy
2018/1/5,9:30 AM,36,93,Mostly Cloudy
2018/1/5,10:00 AM,36,93,Mostly Cloudy
2018/1/5,10:30 AM,36,93,Mostly Cloudy
2018/1/5,11:00 AM,37,87,Mostly Cloudy
2018/1/5,11:30 AM,37,87,Mostly Cloudy
2018/1/5,12:00 PM,37,87,Mostly Cloudy
2018/1/5,12:30 PM,37,87,Mostly Cloudy
2018/1/5,1:00 PM,39,87,Mostly Cloudy
2018/1/5,1:30 PM,41,81,Mostly Cloudy
2018/1/5,2:00 PM,43,76,Mostly Cloudy
2018/1/5,2:30 PM,45,71,Mostly Cloudy
2018/1/5,3:00 PM,43,76,Mostly Cloudy
2018/1/5,3:30 PM,43,76,Mostly Cloudy
2018/1/5,4:00 PM,41,81,Mostly Cloudy
2018/1/5,4:30 PM,41,81,Partly Cloudy
2018/1/5,5:00 PM,41,81,Partly Cloudy
2018/1/5,5:30 PM,41,81,Partly Cloudy
2018/1/5,6:00 PM,39,81,Partly Cloudy
2018/1/5,6:30 PM,39,81,Partly Cloudy
2018/1/5,7:00 PM,39,87,Mostly Cloudy
2018/1/5,7:30 PM,39,81,Mostly Cloudy
2018/1/5,8:00 PM,36,87,Mostly Cloudy
2018/1/5,8:30 PM,37,87,Mostly Cloudy
2018/1/5,9:30 PM,34,93,Mostly Cloudy
2018/1/5,10:00 PM,34,93,Partly Cloudy
2018/1/5,10:30 PM,32,93,Fair
2018/1/5,11:00 PM,32,93,Mostly Cloudy
2018/1/5,11:30 PM,30,100,Mostly Cloudy
2018/1/6,12:00 AM,37,81,Fair
2018/1/6,12:30 AM,37,81,Fair
2018/1/6,1:00 AM,32,93,Partly Cloudy
2018/1/6,1:30 AM,32,93,Mostly Cloudy
2018/1/6,2:00 AM,32,100,Mostly Cloudy
2018/1/6,2:30 AM,30,100,Mostly Cloudy
2018/1/6,3:00 AM,34,93,Mostly Cloudy
2018/1/6,3:30 AM,37,93,Mostly Cloudy
2018/1/6,4:00 AM,37,93,Mostly Cloudy
2018/1/6,4:30 AM,39,87,Partly Cloudy
2018/1/6,5:00 AM,39,87,Partly Cloudy
2018/1/6,5:30 AM,41,81,Mostly Cloudy
2018/1/6,6:00 AM,41,81,Mostly Cloudy
2018/1/6,6:30 AM,43,76,Mostly Cloudy
2018/1/6,7:00 AM,41,81,Mostly Cloudy
2018/1/6,7:30 AM,41,76,Mostly Cloudy
2018/1/6,8:00 AM,41,81,Mostly Cloudy
2018/1/6,8:30 AM,41,81,Mostly Cloudy
2018/1/6,9:00 AM,41,76,Mostly Cloudy
2018/1/6,9:30 AM,41,76,Mostly Cloudy
2018/1/6,10:00 AM,41,76,Mostly Cloudy / Windy
2018/1/6,10:30 AM,41,76,Mostly Cloudy
2018/1/6,11:00 AM,43,76,Mostly Cloudy / Windy
2018/1/6,11:30 AM,43,76,Mostly Cloudy
2018/1/6,12:00 PM,43,76,Mostly Cloudy / Windy
2018/1/6,12:30 PM,43,70,Mostly Cloudy / Windy
2018/1/6,1:00 PM,43,70,Mostly Cloudy / Windy
2018/1/6,1:30 PM,43,76,Mostly Cloudy / Windy
2018/1/6,2:00 PM,43,70,Partly Cloudy / Windy
2018/1/6,2:30 PM,43,66,Showers in the Vicinity
2018/1/6,3:00 PM,41,70,Partly Cloudy / Windy
2018/1/6,3:30 PM,41,70,Mostly Cloudy / Windy
2018/1/6,4:00 PM,41,70,Mostly Cloudy / Windy
2018/1/6,4:30 PM,41,70,Mostly Cloudy
2018/1/6,5:00 PM,41,65,Mostly Cloudy
2018/1/6,5:30 PM,39,70,Mostly Cloudy
2018/1/6,6:00 PM,39,70,Mostly Cloudy
